ScopePrefix,UnitName,FileName,ParentDirectory
Data,DBXTableFactory,Data.DBXTableFactory.pas,...\data\dbx\
Data,DBXTrace,Data.DBXTrace.pas,...\data\dbx\
Data,DBXTransport,Data.DBXTransport.pas,...\data\dbx\
Data,DBXTransportFilter,Data.DBXTransportFilter.pas,...\data\dbx\
Data,DBXTypedTableStorage,Data.DBXTypedTableStorage.pas,...\data\dbx\
Data,DSUtil,Data.DSUtil.pas,...\data\dbx\
Data,SqlConst,Data.SqlConst.pas,...\data\dbx\
Data,SqlExpr,Data.SqlExpr.pas,...\data\dbx\
,SimpleDS,SimpleDS.pas,...\data\dbx\
Datasnap,DataBkr,Datasnap.DataBkr.pas,...\data\dsnap\
Datasnap,DBClient,Datasnap.DBClient.pas,...\data\dsnap\
Datasnap,DSIntf,Datasnap.DSIntf.pas,...\data\dsnap\
Datasnap,Midas,Datasnap.Midas.pas,...\data\dsnap\
Datasnap,MidConst,Datasnap.MidConst.pas,...\data\dsnap\
Datasnap,Provider,Datasnap.Provider.pas,...\data\dsnap\
Datasnap.Win,MConnect,Datasnap.Win.MConnect.pas,...\data\dsnap\
Datasnap.Win,MidasCon,Datasnap.Win.MidasCon.pas,...\data\dsnap\
Datasnap.Win,MtsRdm,Datasnap.Win.MtsRdm.pas,...\data\dsnap\
Datasnap.Win,ObjBrkr,Datasnap.Win.ObjBrkr.pas,...\data\dsnap\
Datasnap.Win,SConnect,Datasnap.Win.SConnect.pas,...\data\dsnap\
Datasnap.Win,TConnect,Datasnap.Win.TConnect.pas,...\data\dsnap\
,HTTPIntr,HTTPIntr.pas,...\data\dsnap\
,MidasLib,MidasLib.pas,...\data\dsnap\
,ScktCnst,ScktCnst.pas,...\data\dsnap\
,ScktMain,ScktMain.pas,...\data\dsnap\
,DBXCustomDataGenerator,DBXCustomDataGenerator.pas,...\data\Test\
,DbxDataGenerator,DbxDataGenerator.pas,...\data\Test\
,DBXDBMetaData,DBXDBMetaData.pas,...\data\Test\
,DbxTest,DbxTest.pas,...\data\Test\
,DBXTestResStrs,DBXTestResStrs.pas,...\data\Test\
,TestFrameworkExtension,TestFrameworkExtension.pas,...\data\Test\
Vcl,DBActns,Vcl.DBActns.pas,...\data\vclctrls\
Vcl,DBCGrids,Vcl.DBCGrids.pas,...\data\vclctrls\
Vcl,DBClientActns,Vcl.DBClientActns.pas,...\data\vclctrls\
Vcl,DBCtrls,Vcl.DBCtrls.pas,...\data\vclctrls\
Vcl,DBGrids,Vcl.DBGrids.pas,...\data\vclctrls\
Vcl,DBLogDlg,Vcl.DBLogDlg.pas,...\data\vclctrls\
Vcl,DBLookup,Vcl.DBLookup.pas,...\data\vclctrls\
Vcl,DBOleCtl,Vcl.DBOleCtl.pas,...\data\vclctrls\
Vcl,DBPWDlg,Vcl.DBPWDlg.pas,...\data\vclctrls\
Vcl,recerror,Vcl.recerror.pas,...\data\vclctrls\
Vcl,VDBConsts,Vcl.VDBConsts.pas,...\data\vclctrls\
Data.Bind,Components,Data.Bind.Components.pas,...\databinding\components\
Data.Bind,Consts,Data.Bind.Consts.pas,...\databinding\components\
Data.Bind,DBLinks,Data.Bind.DBLinks.pas,...\databinding\components\
Data.Bind,DBScope,Data.Bind.DBScope.pas,...\databinding\components\
Data.Bind,Editors,Data.Bind.Editors.pas,...\databinding\components\
Data.Bind,EngExt,Data.Bind.EngExt.pas,...\databinding\components\
Data.Bind,ObserverLinks,Data.Bind.ObserverLinks.pas,...\databinding\components\
Fmx.Bind,Consts,Fmx.Bind.Consts.pas,...\databinding\components\
Fmx.Bind,DBEngExt,Fmx.Bind.DBEngExt.pas,...\databinding\components\
Fmx.Bind,DBLinks,Fmx.Bind.DBLinks.pas,...\databinding\components\
Fmx.Bind,Editors,Fmx.Bind.Editors.pas,...\databinding\components\
Fmx.Bind,Navigator,Fmx.Bind.Navigator.pas,...\databinding\components\
Vcl.Bind,Consts,Vcl.Bind.Consts.pas,...\databinding\components\
Vcl.Bind,DBEngExt,Vcl.Bind.DBEngExt.pas,...\databinding\components\
Vcl.Bind,Editors,Vcl.Bind.Editors.pas,...\databinding\components\
System.Bindings,Consts,System.Bindings.Consts.pas,...\databinding\engine\
System.Bindings,CustomScope,System.Bindings.CustomScope.pas,...\databinding\engine\
System.Bindings,CustomWrapper,System.Bindings.CustomWrapper.pas,...\databinding\engine\
System.Bindings,EvalProtocol,System.Bindings.EvalProtocol.pas,...\databinding\engine\
System.Bindings,EvalSys,System.Bindings.EvalSys.pas,...\databinding\engine\
System.Bindings,Evaluator,System.Bindings.Evaluator.pas,...\databinding\engine\
System.Bindings,Expression,System.Bindings.Expression.pas,...\databinding\engine\
System.Bindings,ExpressionDefaults,System.Bindings.ExpressionDefaults.pas,...\databinding\engine\
System.Bindings,Factories,System.Bindings.Factories.pas,...\databinding\engine\
System.Bindings,Graph,System.Bindings.Graph.pas,...\databinding\engine\
System.Bindings,Helper,System.Bindings.Helper.pas,...\databinding\engine\
System.Bindings,Manager,System.Bindings.Manager.pas,...\databinding\engine\
System.Bindings,ManagerDefaults,System.Bindings.ManagerDefaults.pas,...\databinding\engine\
System.Bindings,Methods,System.Bindings.Methods.pas,...\databinding\engine\
System.Bindings,NotifierContracts,System.Bindings.NotifierContracts.pas,...\databinding\engine\
System.Bindings,NotifierDefaults,System.Bindings.NotifierDefaults.pas,...\databinding\engine\
System.Bindings,ObjEval,System.Bindings.ObjEval.pas,...\databinding\engine\
System.Bindings,Outputs,System.Bindings.Outputs.pas,...\databinding\engine\
System.Bindings,Search,System.Bindings.Search.pas,...\databinding\engine\
,BindingGraphResStrs,BindingGraphResStrs.pas,...\databinding\graph\
,BindingGraphViewNodes,BindingGraphViewNodes.pas,...\databinding\graph\
,GraphView,GraphView.pas,...\databinding\graph\
,SyncController,SyncController.pas,...\databinding\graph\
,XPEvent,XPEvent.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPInterfacedObject,XPInterfacedObject.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPIterator,XPIterator.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPObserver,XPObserver.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPRestore,XPRestore.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPSingleton,XPSingleton.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPSingletonForm,XPSingletonForm.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPStrings,XPStrings.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPSyncRW,XPSyncRW.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPTransactIniFile,XPTransactIniFile.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPWinBase,XPWinBase.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPWinSync,XPWinSync.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\
,XPInterfacedObjectTests,XPInterfacedObjectTests.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\dunit\
,XPObserverTests,XPObserverTests.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\dunit\
,XPTempReleaseTests,XPTempReleaseTests.pas,...\DUnit\Contrib\DUnitWizard\Source\Common\dunit\
,XPKeyWords,XPKeyWords.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\Common\
,XPPascalScanner,XPPascalScanner.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\Common\
,XPToken,XPToken.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\Common\
,XPTokenMulticaster,XPTokenMulticaster.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\Common\
,XP_OTACreators,XP_OTACreators.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\Common\
,XP_OTAEditorUtils,XP_OTAEditorUtils.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\Common\
,XP_OTAUtils,XP_OTAUtils.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\Common\
,XP_OTAWizards,XP_OTAWizards.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\Common\
,XPDUnitCommon,XPDUnitCommon.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitMacros,XPDUnitMacros.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitMenuWizard,XPDUnitMenuWizard.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitParameters,XPDUnitParameters.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitProject,XPDUnitProject.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitProjectWizard,XPDUnitProjectWizard.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitSetup,XPDUnitSetup.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitTestClass,XPDUnitTestClass.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitTestClassWizard,XPDUnitTestClassWizard.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitTestModule,XPDUnitTestModule.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitTestModuleWizard,XPDUnitTestModuleWizard.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPDUnitWizard,XPDUnitWizard.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPParserFilters,XPParserFilters.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPTemplateParser,XPTemplateParser.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPTestedUnitParser,XPTestedUnitParser.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPTestedUnitUtils,XPTestedUnitUtils.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,XPTextTemplates,XPTextTemplates.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\
,TestedUnitStream,TestedUnitStream.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\dunit\
,WizardFormsDemoMain,WizardFormsDemoMain.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\dunit\
,XPDUnitMacrosTests,XPDUnitMacrosTests.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\dunit\
,XPDUnitParametersTests,XPDUnitParametersTests.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\dunit\
,XPTemplateParserTests,XPTemplateParserTests.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\dunit\
,XPTestedUnitParserTests,XPTestedUnitParserTests.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\dunit\
,XPTestedUnitUtilsTests,XPTestedUnitUtilsTests.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\dunit\
,TestedUnitParserTest_1,TestedUnitParserTest_1.pas,...\DUnit\Contrib\DUnitWizard\Source\DelphiExperts\DUnitProject\dunit\Examples\
,XMLTestRunner,XMLTestRunner.pas,...\DUnit\Contrib\XMLReporting\
,frmXPGenOpts,frmXPGenOpts.pas,...\DUnit\Contrib\XPGen\
,listsupport,listsupport.pas,...\DUnit\Contrib\XPGen\
,parsedef,parsedef.pas,...\DUnit\Contrib\XPGen\
,suite_xpgen,suite_xpgen.pas,...\DUnit\Contrib\XPGen\
,testunit,testunit.pas,...\DUnit\Contrib\XPGen\
,test_xpLex,test_xpLex.pas,...\DUnit\Contrib\XPGen\
,test_xpParse,test_xpParse.pas,...\DUnit\Contrib\XPGen\
,WIZARDXPGEN,WIZARDXPGEN.pas,...\DUnit\Contrib\XPGen\
,wizardXpGenOptions,wizardXpGenOptions.pas,...\DUnit\Contrib\XPGen\
,xpCodeGen,xpCodeGen.pas,...\DUnit\Contrib\XPGen\
,xpLex,xpLex.pas,...\DUnit\Contrib\XPGen\
,xpmain,xpmain.pas,...\DUnit\Contrib\XPGen\
,xpParse,xpParse.pas,...\DUnit\Contrib\XPGen\
,TestFailChecklessTests,TestFailChecklessTests.pas,...\DUnit\examples\ChecklessTests\
,Unit1,Unit1.pas,...\DUnit\examples\cmdline\
,Unit1Test,Unit1Test.pas,...\DUnit\examples\cmdline\
,Unit2,Unit2.pas,...\DUnit\examples\cmdline\
,Unit2Test,Unit2Test.pas,...\DUnit\examples\cmdline\
,EmbeddableGUITestRunner,EmbeddableGUITestRunner.pas,...\DUnit\examples\embeddable\
,DemoHaltRepeatingOnError,DemoHaltRepeatingOnError.pas,...\DUnit\examples\HaltRepeating\
,UnitTestLeak,UnitTestLeak.pas,...\DUnit\examples\MemLeakDetect\
,UnitTestSetup,UnitTestSetup.pas,...\DUnit\examples\MemLeakDetect\
,TestUnit1,TestUnit1.pas,...\DUnit\examples\registration\
,TestUnit2,TestUnit2.pas,...\DUnit\examples\registration\
